Dataset diabetes USstates,,,,,
State,Diabetes,ESRD,Cholesterol,Hypertension,Obesity
Alabama,82166,113,203687,234993,251424
Alaska,5035,**,15934,19327,21315
Arizona,66382,124,203995,217614,243867
Arkansas,40656,43,101185,117611,141274
California,431739,495,1261036,1200685,1401318
Colorado,43844,44,84093,95636,143198
Connecticut,25073,33,75232,81048,113286
Delaware,11190,**,29989,31070,36216
District of Columbia,**,13,16706,17651,20845
Florida,193821,234,564872,611984,768631
Georgia,105839,193,327202,373210,458636
Guam,2717,*,6803,7775,6675
Hawaii,18712,37,29562,30217,53145
Idaho,11573,19,34304,32101,42946
Illinois,111388,147,349633,341051,485438
Indiana,72197,85,210096,214861,276240
Iowa,27797,18,79434,72026,101594
Kansas,31022,26,72251,83969,103369
Kentucky,69125,65,142819,156313,215538
Louisiana,50341,102,161112,193788,197255
Maine,9649,**,41091,39207,47596
Maryland,53718,74,159871,174399,226842
Massachusetts,81643,52,166705,168231,221572
Michigan,67986,151,289532,306145,359121
Minnesota,45622,36,101798,104650,153339
Mississippi,41624,79,116079,141973,149726
Missouri,77978,70,171349,192462,229107
Montana,8469,15,18387,20325,31852
Nebraska,17147,17,45336,48435,59841
Nevada,24767,37,83016,87858,85181
New Hampshire,9978,12,35571,34863,44018
New Jersey,80361,91,219055,233361,277431
New Mexico,24413,37,56669,62932,83073
New York,192379,209,564761,660089,687898
North Carolina,114896,168,321282,361998,402238
North Dakota,7154,**,17476,19065,22270
Ohio,118375,174,326532,353983,514498
Oklahoma,37056,49,124396,145164,171990
Oregon,36339,37,94573,120720,120135
Pennsylvania,113441,127,378322,368823,517855
Puerto Rico,46160,87,119504,165988,193589
Rhode Island,7527,**,27403,31844,35460
South Carolina,60578,94,179873,200061,230616
South Dakota,8721,**,20467,21023,27421
Tennessee,95296,109,236565,278034,349639
Texas,326086,533,835978,977001,1145437
US Virgin Islands,*,*,*,*,*
Utah,26424,27,50017,50109,69242
Vermont,6463,**,13745,14647,17590
Virginia,71114,94,257891,268680,286622
Washington,64547,71,140398,163751,236522
West Virginia,25782,34,74784,84410,103787
Wisconsin,46027,53,119293,142430,180259
Wyoming,6481,**,11220,12904,18598
